id,g,l,target_l,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27
0,9.81,3.5705833846166457,3.5705833846166457,-0.7925999694945575,-0.7409220539884329,-1.7789916127986771,4.478959372124949,0.7302089677004667,0.39980337332395793,0.048961420847965995,0.48555813262655717,0.04492127781354256,0.7704913759075938,0.0,0.2997036355590613,0.5344702577719701,-4.110143367797141,-0.6107366615797581,-0.5185459008318762,-0.27557751219618576,-0.44305843069803147,0.03541051290132703,-0.04126742370140518,-0.03774285569021703,0.19804308807289012,-0.04697924881193115,0.1227430053446972,0.6755176121859119,-0.7314636661473384,0.5730042167117958,-0.575596758534329
1,9.81,0.742194584610002,0.742194584610002,0.9092734587284066,0.5041829201444479,0.7869232593791948,0.5250829700071273,0.5931775424148439,1.721432227089811,1.691365832061295,3.303223207620195,-1.5408544487114664,-0.028365058167115875,0.0,0.5586616179714684,0.5670197854502613,0.3017648909653552,1.1343015309363693,0.43965013642090145,1.0613363878988704,4.5679376328197465,-1.6567735334374285,0.007075122274361384,0.04329873612992414,0.2209359869540392,0.003778735560416657,0.6474523098544982,0.7688428686117657,-0.6588366416440473,1.3083644269099004,-1.3497346245057062
2,9.81,1.4916194274767511,1.4916194274767511,-0.9292522631835057,1.219939098425214,0.3258065666215916,0.31056184988967556,0.12544919737238053,0.5935655796089244,0.6907012142187465,1.0073690166375742,0.7459435044694158,-0.05550588435442816,0.0,0.7395150382956,0.4696862253615648,1.23357836611369,4.428375978809164,-4.513018155862514,-1.5070175229271003,-0.7462391108978523,-0.5463464041674018,-0.08657007187633603,-0.04425010777064312,0.22844180701746816,-0.036647648501581885,0.3652556187099218,0.5712309994479821,-0.9346187775513278,0.9315052265025829,-0.8899936138110685
3,9.81,1.3296731481440136,1.3296731481440136,-0.9612835174630459,0.40012226253663163,-0.03352791381034992,-0.0847258865655241,-1.6104872460376416,5.814290754095411,0.5826697114087687,0.9512254345834664,0.42670272926484804,0.7267525058778928,0.0,-1.0139749348277283,-0.5317086196024396,0.09989980304458246,0.025674152970720315,-3.303332538054571,-0.02170070185532244,0.1382456036352718,-0.10297516370261159,-0.15629344078006668,-0.04577540559347836,0.2312593566930951,-0.059168254436769305,0.3710441090013485,0.6402927511524334,-0.8892509015046565,1.018355413951597,-0.9651788239890693
4,9.81,1.2915765548826366,1.2915765548826366,-0.7342142418114572,-0.04236864493646014,-0.4478250297541284,-0.3246116078088714,-0.8786768460483968,6.180035501618212,0.6630085035577559,-0.024342607427197377,0.8409093960066342,0.1345215389616201,0.0,0.03973323130494924,-0.1569302124595644,0.8242379353553729,-0.23782891935282074,-1.6303534306102059,0.2740156861517619,0.3802184293927196,-0.142278443571424,-0.14686031786660236,-0.03496258294340273,0.20143659827411656,-0.041364196059946595,0.35866441813282984,0.6850879712065779,-0.834491463327467,0.9485750727307648,-0.7799891677734486
5,9.81,4.154425279950981,4.154425279950981,0.43500053984310005,0.013279784351188373,-0.3655065879980049,1.0656924922998963,1.092039934721672,0.7233823832359084,0.8535759289355752,1.2085828497266191,0.6063520978529616,0.6662400057261267,0.0,0.26726134821803804,3.4490783365370827,-4.492652499819142,-1.72786779533698,-0.3864252303220219,-0.21740103731537475,-0.3579594213640237,-0.048015207197376064,-0.13885912368992548,0.020714311421099987,0.19412312738642878,-0.06320368783269621,0.11518144050553332,0.6880746275725018,-0.58604344790871,0.6743400916788356,-0.478586293014762
6,9.81,4.6550524911217535,4.6550524911217535,0.7945267236915103,0.4008950304073598,2.0780272866813365,0.0828122642263695,0.8154000978937267,-0.23057731703905154,0.45971477860630544,0.8612073909150313,0.35198524338733356,0.3326985287445379,0.0,0.8632388399081043,4.044764001457203,-3.4714791549948063,-0.6300787294769674,-0.47284215428183385,-0.9226031538490933,-0.2822545130325271,0.1795868987073092,0.09889074688415636,0.03783460589007192,0.17029141861799726,-0.03472512003690292,0.09796469739294025,0.651138585635132,-0.685235527449462,0.6466074747943419,-0.4927015047033036
7,9.81,1.7445847900869782,1.7445847900869782,0.7445827402413365,1.2682484540957395,0.7050699091202125,0.2787009519143344,6.42708409774291,-0.452985498239309,-0.009326403522849719,0.10654843712987339,0.33588259798512676,-0.4678144115063946,0.0,-0.29120385037047775,0.338236108658229,0.28128672780042363,2.2647140105479147,-0.7475528346443071,-0.7204906617379675,-0.5328229975668692,-0.1299742890458816,0.25297770235168626,0.03545632096387318,0.2371456784326564,-0.004867943369285898,0.33327820655311446,0.7749417397152245,-0.655911632783289,0.7423949456977769,-1.1534477945880734
8,9.81,4.188895527168509,4.188895527168509,0.45759590940245054,0.392116505068267,-0.24962884085728868,2.068935305660905,0.5697797593871594,0.22122315116459107,0.7950591955300216,0.7173534875994688,0.8063524066099258,0.7620661005423564,0.0,0.35131429135045733,3.1031058501116173,-4.669537569426939,-0.6492306997693964,-1.2678851828542417,-1.0493480833463795,-0.9311270121997303,0.16201658769335303,0.3574313517716582,0.021790281400116688,0.1955644173588516,-0.054068701541880024,0.13445485840763477,0.6154793002705664,-0.7160030641395425,0.5623926431094989,-0.6817029268546672
9,9.81,4.504517119000337,4.504517119000337,0.13454070093858106,1.200078048422252,1.341452029504365,0.02500027637611235,0.7404495799854398,0.9287100647517819,-0.010981272655163465,0.7683346835710363,0.5167231516977997,0.536777739639908,0.0,1.0489277747131962,4.357672473518904,-3.8169421752655017,-1.7480144847165795,-0.6818987291101852,-1.0806024989894498,-0.6929369037351931,-0.7298814075912805,-0.16345725916328147,0.00640670004469436,0.21516036568861502,-0.05526892759382429,0.1287055959005156,0.6841389146901479,-0.6701717764102295,0.6589821655307628,-0.6844461719287844
