system_id,P_days,K_ms,eccentricity,omega_deg,n_obs,baseline_days,snr_meas,rv_std_ms,n_planets,n_companions,has_ecc,valid
0,478.6364791392225,64.73525856466269,0.3204932877494231,296.7895953660574,35,2630.806936000008,11.988010845307905,38.65591168575031,1,0,True,True
1,6.208750060369524,173.8784660348971,0.9425962668199948,333.2472007452209,94,455.9846299998462,69.55138641395884,68.82448000801291,1,0,True,True
2,832.4770494373585,466.6150467516828,0.11535496758063772,72.48539485897749,94,455.9846299998462,186.64601870067312,187.8246119393897,2,1,True,True
3,248.52893775694363,152.26537172449702,0.13382192857136335,334.6462496041998,31,322.0594000001438,9.637048843322596,63.96391380047196,1,0,True,True
4,2.6310515256097924,1079.1691761546804,0.0,0.0,38,2203.01716400031,378.65585128234403,752.0453582615077,1,0,True,True
5,2238.172620088885,220.53148295513913,0.0,0.0,16,1791.021538999863,66.82772210761792,131.55578399675466,1,0,True,True
6,442.2463791959373,302.01798687944444,0.5724931041542282,6.429945303065097,137,1528.8761999998242,50.336331146574075,175.82576504725031,1,0,True,True
7,465.4250647802909,18.44786374695726,0.2265483076530514,332.9864901745004,16,94.80128900008276,1.8959777746102013,17.31323487039858,1,0,True,True
8,2.336659446342059,146.42949334546492,0.4630194636221891,342.69436442912684,34,1485.9418999999762,24.818558194146593,100.49530106662763,1,0,True,True
9,7.596975677274895,52.987810089860744,0.1780823957670388,4.338670685733073,12,135.85939999995753,2.464549306505151,41.51377523611065,1,0,True,True
10,4.45217547626008,95.78538055697396,0.0641898934931355,274.6869468396293,24,515.8303999998607,44.551339793941374,67.74171550603967,1,0,True,True
11,1214.3549852138465,115.79495915951797,0.4966790642399855,349.2725661251436,16,250.11018999991938,4.794822325445879,22.621343368207853,2,1,True,True
12,192.14989575713852,1068.599004709921,0.057740289784473015,326.1247987744002,30,1528.7838000003248,172.35467817901952,743.6609379047409,2,1,True,True
13,658.408506410631,1524.6005598605627,0.041501216334007204,0.0,54,459.7656610002741,609.840223944225,577.2198282267271,1,0,True,True
14,7.950569306774176,42.357355467933395,0.29259809146107124,349.4556580306367,59,4034.039850000292,6.680970893995804,31.68422370203109,1,0,True,True
15,3.53410887018553,195.72096906738108,0.519620243305659,198.11646205115017,10,36.908500000368804,6.116280283355659,153.9106701453953,1,0,True,True
16,59.341134358461446,168.40060583420077,0.689228270638326,28.136210358739778,17,829.9180000000633,124.74118950681537,107.67038637266452,1,0,True,True
